Freq[Hz]     dBSPL  Phase[Deg]
302.040    116.355    -4.834
306.433    116.319    -4.522
310.890    116.289    -4.142
315.412    116.272    -3.730
320.000    116.265    -3.327
324.655    116.263    -2.950
329.377    116.263    -2.596
334.168    116.263    -2.259
339.028    116.263    -1.931
343.959    116.263    -1.608
348.962    116.263    -1.288
354.038    116.263    -0.969
359.188    116.263    -0.649
364.412    116.263    -0.326
369.713    116.263     0.004
375.090    116.263     0.344
380.546    116.263     0.705
386.081    116.267     1.090
391.697    116.277     1.499
397.394    116.300     1.904
403.175    116.335     2.253
409.039    116.371     2.530
414.989    116.406     2.734
421.025    116.433     2.874
427.149    116.446     2.998
433.362    116.451     3.143
439.665    116.452     3.315
446.060    116.452     3.515
452.548    116.452     3.732
459.131    116.452     3.962
465.809    116.452     4.204
472.584    116.452     4.456
479.458    116.452     4.718
486.432    116.452     4.991
493.507    116.452     5.276
500.686    116.452     5.577
507.968    116.452     5.897
515.357    116.452     6.246
522.853    116.458     6.626
530.458    116.471     7.030
538.174    116.498     7.421
546.002    116.534     7.753
553.943    116.570     8.017
562.001    116.604     8.216
570.175    116.627     8.368
578.469    116.636     8.525
586.883    116.640     8.715
595.419    116.640     8.941
604.080    116.640     9.200
612.866    116.640     9.485
621.780    116.640     9.794
630.824    116.640    10.130
640.000    116.640    10.500
649.309    116.643    10.910
658.753    116.651    11.360
668.335    116.671    11.829
678.056    116.703    12.273
687.919    116.739    12.668
697.925    116.775    13.014
708.077    116.804    13.325
718.376    116.821    13.648
728.825    116.835    14.027
739.426    116.853    14.464
750.181    116.882    14.923
761.093    116.918    15.367
772.163    116.955    15.795
783.394    116.993    16.214
794.789    117.026    16.647
806.349    117.062    17.116
818.078    117.106    17.602
829.977    117.154    18.101
842.050    117.214    18.586
854.298    117.277    19.032
866.724    117.332    19.486
879.330    117.400    19.952
892.120    117.469    20.404
905.097    117.543    20.857
918.262    117.627    21.292
931.618    117.715    21.683
945.169    117.805    22.032
958.917    117.893    22.343
972.864    117.977    22.633
987.015    118.057    22.932
1001.37    118.134    23.269
1015.94    118.223    23.630
1030.71    118.316    23.996
1045.71    118.420    24.360
1060.92    118.538    24.678
1076.35    118.659    24.926
1092.00    118.777    25.132
1107.89    118.900    25.301
1124.00    119.023    25.426
1140.35    119.142    25.530
1156.94    119.269    25.612
1173.77    119.402    25.637
1190.84    119.535    25.589
1208.16    119.663    25.476
1225.73    119.787    25.300
1243.56    119.897    25.087
1261.65    119.997    24.884
1280.00    120.094    24.706
1298.62    120.193    24.551
1317.51    120.303    24.374
1336.67    120.411    24.141
1356.11    120.516    23.860
1375.84    120.618    23.514
1395.85    120.698    23.148
1416.15    120.770    22.817
1436.75    120.838    22.509
1457.65    120.894    22.262
1478.85    120.959    22.073
1500.36    121.028    21.895
1522.19    121.097    21.731
1544.33    121.174    21.564
1566.79    121.246    21.387
1589.58    121.317    21.225
1612.70    121.391    21.076
1636.16    121.463    20.950
1659.95    121.544    20.843
1684.10    121.630    20.729
1708.60    121.719    20.597
1733.45    121.810    20.448
1758.66    121.901    20.289
1784.24    121.991    20.130
1810.19    122.084    19.980
1836.52    122.179    19.841
1863.24    122.279    19.712
1890.34    122.390    19.573
1917.83    122.503    19.411
1945.73    122.619    19.243
1974.03    122.750    19.037
2002.74    122.875    18.799
2031.87    123.014    18.539
2061.43    123.157    18.205
2091.41    123.295    17.822
2121.83    123.433    17.416
2152.69    123.574    16.982
2184.01    123.711    16.538
2215.77    123.857    16.099
2248.00    124.013    15.640
2280.70    124.187    15.103
2313.87    124.362    14.463
2347.53    124.538    13.736
2381.68    124.715    12.916
2416.32    124.888    12.011
2451.46    125.056    11.048
2487.12    125.229    10.023
2523.30    125.404     8.898
2560.00    125.577     7.655
2597.24    125.741     6.290
2635.01    125.891     4.829
2673.34    126.030     3.296
2712.23    126.159     1.686
2751.68    126.274     0.012
2791.70    126.380    -1.732
2832.31    126.469    -3.561
2873.50    126.533    -5.439
2915.30    126.577    -7.321
2957.70    126.601    -9.182
3000.72    126.610   -10.997
3044.37    126.613   -12.769
3088.65    126.613   -14.531
3133.58    126.609   -16.312
3179.16    126.599   -18.142
3225.40    126.572   -20.021
3272.31    126.525   -21.918
3319.91    126.458   -23.815
3368.20    126.360   -25.657
3417.19    126.247   -27.401
3466.89    126.118   -29.047
3517.32    125.973   -30.554
3568.48    125.832   -31.929
3620.39    125.687   -33.194
3673.05    125.547   -34.338
3726.47    125.426   -35.419
3780.67    125.313   -36.483
3835.67    125.216   -37.569
3891.46    125.121   -38.722
3948.06    125.016   -39.918
4005.49    124.908   -41.132
4063.75    124.787   -42.354
4122.86    124.656   -43.554
4182.82    124.518   -44.718
4243.66    124.379   -45.859
4305.39    124.235   -46.994
4368.01    124.080   -48.108
4431.55    123.919   -49.184
4496.01    123.754   -50.237
4561.40    123.574   -51.242
4627.75    123.389   -52.181
4695.06    123.192   -53.028
4763.35    123.000   -53.768
4832.64    122.816   -54.454
4902.93    122.635   -55.110
4974.24    122.460   -55.748
5046.60    122.289   -56.407
5120.00    122.101   -57.048
5194.47    121.912   -57.626
5270.03    121.724   -58.169
5346.68    121.534   -58.692
5424.45    121.341   -59.191
5503.35    121.143   -59.666
5583.40    120.932   -60.093
5664.61    120.712   -60.444
5747.01    120.482   -60.694
5830.60    120.249   -60.828
5915.41    120.014   -60.838
6001.45    119.776   -60.702
6088.74    119.545   -60.413
6177.30    119.326   -59.988
6267.15    119.125   -59.453
6358.31    118.939   -58.843
6450.80    118.765   -58.164
6544.62    118.601   -57.410
6639.82    118.443   -56.556
6736.40    118.296   -55.561
6834.38    118.173   -54.430
6933.79    118.075   -53.181
7034.64    118.009   -51.832
7136.96    117.978   -50.415
7240.77    117.979   -48.939
7346.09    118.019   -47.404
7452.94    118.103   -45.815
7561.35    118.245   -44.209
7671.33    118.452   -42.653
7782.91    118.732   -41.234
7896.12    119.090   -40.076
8010.97    119.514   -39.299
8127.49    119.991   -38.990
8245.71    120.510   -39.237
8365.65    121.049   -40.098
8487.33    121.600   -41.596
8610.78    122.152   -43.790
8736.03    122.685   -46.765
8863.09    123.159   -50.565
8992.01    123.537   -55.143
9122.80    123.783   -60.354
9255.50    123.866   -65.927
9390.12    123.783   -71.526
9526.70    123.551   -76.861
9665.27    123.199   -81.759
9805.86    122.734   -86.064
9948.49    122.194   -89.629
10093.2    121.616   -92.422
10240.0    121.030   -94.487
10388.9    120.472   -95.924
10540.1    119.974   -96.894
10693.4    119.557   -97.635
10848.9    119.201   -98.354
11006.7    118.880   -99.121
11166.8    118.599  -100.022
11329.2    118.313  -101.090
11494.0    118.018  -102.254
11661.2    117.713  -103.519
11830.8    117.364  -104.806
12002.9    116.987  -106.000
12177.5    116.590  -107.094
12354.6    116.161  -108.055
12534.3    115.720  -108.877
12716.6    115.252  -109.577
12901.6    114.743  -110.061
13089.2    114.193  -110.189
13279.6    113.600  -109.803
13472.8    112.990  -108.758
13668.8    112.405  -107.023
13867.6    111.888  -104.698
14069.3    111.462  -101.927
14273.9    111.138   -98.838
14481.5    110.924   -95.552
14692.2    110.821   -92.166
14905.9    110.846   -88.790
15122.7    111.014   -85.608
15342.7    111.321   -82.830
15565.8    111.767   -80.716
15792.2    112.316   -79.556
16021.9    112.913   -79.573
16255.0    113.492   -80.898
16491.4    113.967   -83.480
16731.3    114.278   -87.017
16974.7    114.405   -91.104
17221.6    114.324   -95.249
17472.1    114.065   -98.944
17726.2    113.692  -101.906
17984.0    113.258  -104.071
18245.6    112.821  -105.522
18511.0    112.427  -106.475
18780.2    112.078  -107.160
19053.4    111.763  -107.714
19330.5    111.456  -108.151
19611.7    111.163  -108.450
19897.0    110.885  -108.617
20186.4    110.632  -108.686
20480.0    110.409  -108.726
20777.9    110.211  -108.809
21080.1    110.024  -108.958
21386.7    109.841  -109.162
21697.8    109.658  -109.403
22013.4    109.476  -109.664
22333.6    109.293  -109.937
22658.4    109.110  -110.216
22988.0    108.927  -110.500
23322.4    108.745  -110.785
23661.6    108.562  -111.070
24005.8    108.379  -111.354
24355.0    108.197  -111.637
24709.2    108.014  -111.917
25068.6    107.831  -112.195
25433.2    107.649  -112.470
25803.2    107.466  -112.742
26178.5    107.283  -113.010
26559.3    107.101  -113.275
26945.6    106.918  -113.537
27337.5    106.735  -113.795
27735.2    106.552  -114.050
28138.6    106.370  -114.301
28547.9    106.187  -114.549
28963.1    106.004  -114.793
29384.4    105.822  -115.033
29811.8    105.639  -115.270
30245.4    105.456  -115.504
30685.3    105.274  -115.734
31131.7    105.091  -115.961
31584.5    104.908  -116.185
32043.9    104.726  -116.405
32510.0    104.543  -116.622
32982.8    104.360  -116.836
33462.6    104.177  -117.047
33949.3    103.995  -117.255
34443.1    103.812  -117.460
34944.1    103.629  -117.662
35452.4    103.447  -117.862
35968.0    103.264  -118.058
36491.2    103.081  -118.252
37022.0    102.899  -118.444
37560.5    102.716  -118.637
38106.8    102.550  -118.811
38661.1    102.400  -118.976
39223.4    102.288  -119.101
39793.9    102.202  -119.198
