Freq[Hz]     dBSPL  Phase[Deg]
310.890     61.127   -10.290
315.412     61.118   -10.120
320.000     61.109    -9.952
324.655     61.100    -9.785
329.377     61.090    -9.620
334.168     61.081    -9.455
339.028     61.072    -9.291
343.959     61.063    -9.128
348.962     61.054    -8.966
354.038     61.045    -8.805
359.188     61.036    -8.644
364.412     61.027    -8.484
369.713     61.017    -8.324
375.090     61.008    -8.165
380.546     60.999    -8.006
386.081     60.990    -7.848
391.697     60.981    -7.689
397.394     60.972    -7.531
403.175     60.963    -7.374
409.039     60.953    -7.216
414.989     60.944    -7.058
421.025     60.935    -6.900
427.149     60.926    -6.742
433.362     60.917    -6.584
439.665     60.908    -6.425
446.060     60.899    -6.266
452.548     60.890    -6.107
459.131     60.880    -5.947
465.809     60.871    -5.787
472.584     60.862    -5.626
479.458     60.853    -5.465
486.432     60.844    -5.302
493.507     60.835    -5.139
500.686     60.826    -4.975
507.968     60.816    -4.810
515.357     60.807    -4.644
522.853     60.798    -4.477
530.458     60.789    -4.308
538.174     60.780    -4.138
546.002     60.771    -3.967
553.943     60.762    -3.794
562.001     60.753    -3.620
570.175     60.743    -3.443
578.469     60.734    -3.265
586.883     60.725    -3.086
595.419     60.716    -2.904
604.080     60.707    -2.719
612.866     60.698    -2.533
621.780     60.689    -2.344
630.824     60.679    -2.153
640.000     60.670    -1.959
649.309     60.661    -1.762
658.753     60.652    -1.562
668.335     60.643    -1.358
678.056     60.634    -1.152
687.919     60.625    -0.942
697.925     60.616    -0.728
708.077     60.606    -0.510
718.376     60.597    -0.289
728.825     60.588    -0.062
739.426     60.579     0.168
750.181     60.570     0.404
761.093     60.561     0.645
772.163     60.552     0.891
783.394     60.542     1.143
794.789     60.533     1.401
806.349     60.524     1.666
818.078     60.515     1.938
829.977     60.506     2.216
842.050     60.497     2.503
854.298     60.488     2.798
866.724     60.478     3.101
879.330     60.469     3.414
892.120     60.460     3.737
905.097     60.451     4.070
918.262     60.442     4.415
931.618     60.433     4.771
945.169     60.424     5.141
958.917     60.415     5.523
972.864     60.405     5.919
987.015     60.395     6.331
1001.37     60.384     6.762
1015.94     60.373     7.214
1030.71     60.360     7.695
1045.71     60.346     8.208
1060.92     60.332     8.760
1076.35     60.317     9.355
1092.00     60.303    10.000
1107.89     60.288    10.706
1124.00     60.273    11.488
1140.35     60.262    12.370
1156.94     60.258    13.371
1173.77     60.273    14.490
1190.84     60.317    15.681
1208.16     60.391    16.886
1225.73     60.495    18.045
1243.56     60.622    19.105
1261.65     60.759    20.053
1280.00     60.900    20.906
1298.62     61.042    21.693
1317.51     61.185    22.442
1336.67     61.331    23.174
1356.11     61.484    23.897
1375.84     61.648    24.601
1395.85     61.825    25.267
1416.15     62.013    25.875
1436.75     62.211    26.404
1457.65     62.414    26.849
1478.85     62.619    27.215
1500.36     62.824    27.516
1522.19     63.030    27.764
1544.33     63.236    27.972
1566.79     63.444    28.146
1589.58     63.658    28.290
1612.70     63.878    28.392
1636.16     64.106    28.440
1659.95     64.341    28.419
1684.10     64.580    28.318
1708.60     64.822    28.134
1733.45     65.065    27.869
1758.66     65.308    27.531
1784.24     65.551    27.121
1810.19     65.793    26.642
1836.52     66.036    26.095
1863.24     66.279    25.479
1890.34     66.522    24.793
1917.83     66.765    24.035
1945.73     67.007    23.201
1974.03     67.250    22.288
2002.74     67.493    21.287
2031.87     67.735    20.190
2061.43     67.973    18.989
2091.41     68.205    17.683
2121.83     68.427    16.283
2152.69     68.640    14.804
2184.01     68.844    13.258
2215.77     69.043    11.650
2248.00     69.239     9.969
2280.70     69.433     8.187
2313.87     69.626     6.266
2347.53     69.808     4.169
2381.68     69.969     1.879
2416.32     70.091    -0.563
2451.46     70.169    -3.076
2487.12     70.202    -5.568
2523.30     70.196    -7.958
2560.00     70.167   -10.200
2597.24     70.128   -12.308
2635.01     70.085   -14.320
2673.34     70.037   -16.272
2712.23     69.981   -18.181
2751.68     69.916   -20.043
2791.70     69.841   -21.849
2832.31     69.757   -23.586
2873.50     69.667   -25.249
2915.30     69.575   -26.843
2957.70     69.482   -28.379
3000.72     69.389   -29.868
3044.37     69.296   -31.319
3088.65     69.203   -32.740
3133.58     69.110   -34.134
3179.16     69.017   -35.509
3225.40     68.924   -36.869
3272.31     68.831   -38.218
3319.91     68.738   -39.564
3368.20     68.645   -40.915
3417.19     68.552   -42.283
3466.89     68.456   -43.681
3517.32     68.355   -45.118
3568.48     68.242   -46.589
3620.39     68.113   -48.063
3673.05     67.968   -49.508
3726.47     67.807   -50.893
3780.67     67.635   -52.191
3835.67     67.458   -53.401
3891.46     67.279   -54.534
3948.06     67.101   -55.603
4005.49     66.922   -56.617
4063.75     66.743   -57.582
4122.86     66.565   -58.502
4182.82     66.386   -59.380
4243.66     66.208   -60.217
4305.39     66.029   -61.015
4368.01     65.850   -61.774
4431.55     65.672   -62.495
4496.01     65.493   -63.178
4561.40     65.314   -63.822
4627.75     65.136   -64.424
4695.06     64.958   -64.982
4763.35     64.781   -65.494
4832.64     64.607   -65.961
4902.93     64.437   -66.391
4974.24     64.271   -66.789
5046.60     64.107   -67.162
5120.00     63.947   -67.511
5194.47     63.787   -67.836
5270.03     63.627   -68.130
5346.68     63.468   -68.386
5424.45     63.309   -68.594
5503.35     63.149   -68.742
5583.40     62.991   -68.811
5664.61     62.837   -68.784
5747.01     62.694   -68.655
5830.60     62.571   -68.442
5915.41     62.471   -68.190
6001.45     62.396   -67.943
6088.74     62.341   -67.744
6177.30     62.298   -67.611
6267.15     62.261   -67.534
6358.31     62.225   -67.484
6450.80     62.190   -67.426
6544.62     62.154   -67.312
6639.82     62.124   -67.085
6736.40     62.113   -66.692
6834.38     62.148   -66.129
6933.79     62.260   -65.505
7034.64     62.461   -65.004
7136.96     62.750   -64.828
7240.77     63.109   -65.175
7346.09     63.506   -66.174
7452.94     63.918   -67.877
7561.35     64.334   -70.355
7671.33     64.721   -73.700
7782.91     65.045   -78.004
7896.12     65.220   -83.181
8010.97     65.190   -88.828
8127.49     64.957   -94.468
8245.71     64.511   -99.611
8365.65     63.904  -103.826
8487.33     63.230  -107.002
8610.78     62.544  -109.266
8736.03     61.893  -110.831
8863.09     61.285  -111.912
8992.01     60.723  -112.665
9122.80     60.197  -113.205
9255.50     59.688  -113.574
9390.12     59.187  -113.757
9526.70     58.687  -113.714
9665.27     58.187  -113.382
9805.86     57.694  -112.695
9948.49     57.219  -111.596
10093.2     56.793  -110.089
10240.0     56.442  -108.291
10388.9     56.175  -106.358
10540.1     55.995  -104.444
10693.4     55.880  -102.665
10848.9     55.801  -101.010
11006.7     55.753   -99.383
11166.8     55.750   -97.700
11329.2     55.832   -96.002
11494.0     56.023   -94.479
11661.2     56.321   -93.362
11830.8     56.714   -92.896
12002.9     57.164   -93.295
12177.5     57.632   -94.690
12354.6     58.072   -97.153
12534.3     58.435  -100.708
12716.6     58.639  -105.185
12901.6     58.639  -110.151
13089.2     58.440  -115.128
13279.6     58.041  -119.651
13472.8     57.496  -123.347
13668.8     56.888  -126.135
13867.6     56.257  -128.098
14069.3     55.640  -129.341
14273.9     55.062  -130.002
14481.5     54.542  -130.255
14692.2     54.084  -130.268
14905.9     53.691  -130.197
15122.7     53.345  -130.172
15342.7     53.020  -130.225
15565.8     52.703  -130.328
15792.2     52.387  -130.445
16021.9     52.070  -130.542
16255.0     51.753  -130.599
16491.4     51.437  -130.598
16731.3     51.120  -130.517
16974.7     50.807  -130.332
17221.6     50.502  -130.026
17472.1     50.217  -129.609
17726.2     49.958  -129.130
17984.0     49.729  -128.650
18245.6     49.528  -128.228
18511.0     49.348  -127.913
18780.2     49.175  -127.716
19053.4     49.004  -127.621
19330.5     48.831  -127.606
19611.7     48.652  -127.646
19897.0     48.468  -127.719
20186.4     48.280  -127.811
20480.0     48.088  -127.907
20777.9     47.894  -128.002
21080.1     47.700  -128.097
21386.7     47.505  -128.193
21697.8     47.311  -128.291
22013.4     47.117  -128.392
22333.6     46.923  -128.496
22658.4     46.728  -128.601
22988.0     46.534  -128.709
23322.4     46.340  -128.819
23661.6     46.145  -128.930
24005.8     45.951  -129.042
24355.0     45.757  -129.156
24709.2     45.562  -129.270
25068.6     45.368  -129.385
25433.2     45.174  -129.500
25803.2     44.979  -129.615
26178.5     44.785  -129.731
26559.3     44.591  -129.846
26945.6     44.396  -129.962
27337.5     44.202  -130.077
27735.2     44.008  -130.192
28138.6     43.814  -130.307
28547.9     43.619  -130.421
28963.1     43.425  -130.535
29384.4     43.231  -130.647
29811.8     43.036  -130.760
30245.4     42.842  -130.871
30685.3     42.648  -130.983
31131.7     42.453  -131.093
31584.5     42.259  -131.202
32043.9     42.065  -131.311
32510.0     41.870  -131.419
32982.8     41.676  -131.526
33462.6     41.482  -131.632
33949.3     41.287  -131.738
34443.1     41.093  -131.842
34944.1     40.899  -131.946
35452.4     40.705  -132.049
35968.0     40.510  -132.151
36491.2     40.316  -132.253
37022.0     40.122  -132.354
37560.5     39.927  -132.458
38106.8     39.751  -132.553
38661.1     39.592  -132.648
39223.4     39.472  -132.722
39793.9     39.381  -132.781
