Frequency	dB	Unweighted
144.6	2.5	
146.7	2.4	
148.9	2.3	
151.0	2.2	
153.2	2.1	
155.4	2.1	
157.7	2.0	
160.0	1.9	
162.3	1.8	
164.7	1.7	
167.1	1.6	
169.5	1.6	
172.0	1.5	
174.5	1.4	
177.0	1.4	
179.6	1.3	
182.2	1.2	
184.9	1.1	
187.5	1.0	
190.3	1.0	
193.0	0.9	
195.8	0.8	
198.7	0.8	
201.6	0.7	
204.5	0.6	
207.5	0.6	
210.5	0.5	
213.6	0.5	
216.7	0.4	
219.8	0.4	
223.0	0.3	
226.3	0.3	
229.6	0.2	
232.9	0.2	
236.3	0.2	
239.7	0.1	
243.2	0.1	
246.8	0.1	
250.3	0.0	
254.0	0.0	
257.7	0.0	
261.4	0.0	
265.2	0.0	
269.1	0.0	
273.0	0.0	
277.0	0.0	
281.0	0.0	
285.1	0.0	
289.2	0.0	
293.4	0.0	
297.7	0.0	
302.0	0.1	
306.4	0.1	
310.9	0.1	
315.4	0.1	
320.0	0.1	
324.7	0.2	
329.4	0.2	
334.2	0.2	
339.0	0.2	
344.0	0.2	
349.0	0.2	
354.0	0.2	
359.2	0.2	
364.4	0.2	
369.7	0.2	
375.1	0.2	
380.5	0.2	
386.1	0.2	
391.7	0.3	
397.4	0.3	
403.2	0.3	
409.0	0.3	
415.0	0.3	
421.0	0.3	
427.1	0.3	
433.4	0.3	
439.7	0.3	
446.1	0.3	
452.5	0.4	
459.1	0.4	
465.8	0.4	
472.6	0.4	
479.5	0.4	
486.4	0.4	
493.5	0.5	
500.7	0.5	
508.0	0.5	
515.4	0.5	
522.9	0.5	
530.5	0.5	
538.2	0.5	
546.0	0.6	
553.9	0.6	
562.0	0.6	
570.2	0.6	
578.5	0.6	
586.9	0.6	
595.4	0.6	
604.1	0.7	
612.9	0.7	
621.8	0.7	
630.8	0.7	
640.0	0.7	
649.3	0.8	
658.8	0.8	
668.3	0.8	
678.1	0.8	
687.9	0.8	
697.9	0.9	
708.1	0.9	
718.4	1.0	
728.8	1.0	
739.4	1.0	
750.2	1.1	
761.1	1.1	
772.2	1.2	
783.4	1.2	
794.8	1.2	
806.3	1.3	
818.1	1.3	
830.0	1.3	
842.1	1.4	
854.3	1.4	
866.7	1.4	
879.3	1.5	
892.1	1.5	
905.1	1.5	
918.3	1.6	
931.6	1.6	
945.2	1.6	
958.9	1.7	
972.9	1.7	
987.0	1.7	
1001.4	1.7	
1015.9	1.8	
1030.7	1.8	
1045.7	1.8	
1060.9	1.9	
1076.3	1.9	
1092.0	2.0	
1107.9	2.0	
1124.0	2.1	
1140.4	2.2	
1156.9	2.2	
1173.8	2.3	
1190.8	2.4	
1208.2	2.4	
1225.7	2.5	
1243.6	2.6	
1261.6	2.7	
1280.0	2.8	
1298.6	2.9	
1317.5	3.0	
1336.7	3.2	
1356.1	3.3	
1375.8	3.4	
1395.9	3.5	
1416.2	3.6	
1436.8	3.8	
1457.6	3.9	
1478.9	4.0	
1500.4	4.2	
1522.2	4.3	
1544.3	4.4	
1566.8	4.6	
1589.6	4.7	
1612.7	4.9	
1636.2	5.0	
1660.0	5.2	
1684.1	5.3	
1708.6	5.5	
1733.4	5.7	
1758.7	5.8	
1784.2	6.0	
1810.2	6.2	
1836.5	6.4	
1863.2	6.6	
1890.3	6.8	
1917.8	7.0	
1945.7	7.2	
1974.0	7.4	
2002.7	7.7	
2031.9	7.9	
2061.4	8.1	
2091.4	8.3	
2121.8	8.6	
2152.7	8.8	
2184.0	9.0	
2215.8	9.3	
2248.0	9.5	
2280.7	9.7	
2313.9	9.9	
2347.5	10.2	
2381.7	10.4	
2416.3	10.5	
2451.5	10.7	
2487.1	10.9	
2523.3	11.1	
2560.0	11.2	
2597.2	11.3	
2635.0	11.5	
2673.3	11.6	
2712.2	11.7	
2751.7	11.8	
2791.7	11.8	
2832.3	11.9	
2873.5	12.0	
2915.3	12.0	
2957.7	12.1	
3000.7	12.1	
3044.4	12.1	
3088.7	12.1	
3133.6	12.1	
3179.2	12.1	
3225.4	12.1	
3272.3	12.1	
3319.9	12.1	
3368.2	12.0	
3417.2	12.0	
3466.9	11.9	
3517.3	11.8	
3568.5	11.7	
3620.4	11.7	
3673.0	11.6	
3726.5	11.5	
3780.7	11.4	
3835.7	11.3	
3891.5	11.2	
3948.1	11.1	
4005.5	11.0	
4063.7	10.9	
4122.9	10.8	
4182.8	10.6	
4243.7	10.5	
4305.4	10.4	
4368.0	10.3	
4431.5	10.2	
4496.0	10.1	
4561.4	10.0	
4627.7	9.9	
4695.1	9.8	
4763.4	9.7	
4832.6	9.6	
4902.9	9.5	
4974.2	9.5	
5046.6	9.4	
5120.0	9.4	
5194.5	9.3	
5270.0	9.3	
5346.7	9.3	
5424.5	9.2	
5503.4	9.2	
5583.4	9.2	
5664.6	9.2	
5747.0	9.2	
5830.6	9.2	
5915.4	9.2	
6001.4	9.1	
6088.7	9.1	
6177.3	9.1	
6267.2	9.1	
6358.3	9.0	
6450.8	9.0	
6544.6	9.0	
6639.8	8.9	
6736.4	8.9	
6834.4	8.8	
6933.8	8.7	
7034.6	8.7	
7137.0	8.6	
7240.8	8.6	
7346.1	8.5	
7452.9	8.5	
7561.4	8.5	
7671.3	8.4	
7782.9	8.5	
7896.1	8.5	
8011.0	8.5	
8127.5	8.4	
8245.7	8.2	
8365.6	7.9	
8487.3	7.5	
8610.8	6.9	
8736.0	6.1	
8863.1	5.2	
8992.0	4.1	
9122.8	3.0	
9255.5	1.9	
9390.1	0.9	
9526.7	0.1	
9665.3	-0.5	
9805.9	-1.0	
9948.5	-1.4	
10093.2	-1.7	
10240.0	-1.9	
10388.9	-2.1	
10540.1	-2.2	
10693.4	-2.4	
10848.9	-2.6	
11006.7	-2.7	
11166.8	-2.8	
11329.2	-3.0	
11494.0	-3.1	
11661.2	-3.1	
11830.8	-3.2	
12002.9	-3.2	
12177.5	-3.2	
12354.6	-3.2	
12534.3	-3.2	
12716.6	-3.2	
12901.6	-3.2	
13089.3	-3.3	
13279.6	-3.6	
13472.8	-4.2	
13668.8	-5.2	
13867.6	-6.7	
14069.3	-8.8	
14273.9	-11.4	
14481.5	-14.4	
14692.2	-17.6	
14905.9	-20.6	
15122.7	-23.1	
15342.7	-24.7	
15565.8	-25.5	
15792.2	-25.8	
16021.9	-25.8	
16255.0	-25.6	
16491.4	-25.3	
16731.3	-25.2	
16974.7	-25.3	
17221.6	-25.8	
17472.1	-26.7	
17726.2	-28.0	
17984.0	-29.8	
18245.6	-31.9	
18511.0	-34.2	
18780.2	-36.7	
19053.4	-39.2	
19330.5	-41.9	
19897.0	-46.4	
